time,low,high,open,close,volume
9/29/15,236.65,241.05,239.96,236.89,6984.746615
9/30/15,236.26,238.75,236.88,237.14,5479.432846
10/1/15,236.9,239.86,237.1,238.34,5676.938915
10/2/15,236.97,239.4,238.34,238.28,5907.549292
10/3/15,237.73,240.62,238.31,239.92,4332.270319
10/4/15,239.07,240.28,239.93,239.87,3794.120856
10/5/15,237.5,240.98,239.87,240.95,7487.561723
10/6/15,240.31,248,240.93,246.64,9574.838498
10/7/15,240.2,247.96,246.7,244,8821.859795
10/8/15,242.2,245.38,244,242.94,5622.451568
10/9/15,241.1,244.88,242.94,244.35,4935.025522
10/10/15,243.8,246.1,244.44,246.07,3688.533414
10/11/15,245.63,250,246.06,249.02,4323.219647
10/12/15,245.89,249.14,249.01,246.39,5402.186085
10/13/15,244.86,251.5,246.43,250.99,6502.185266
10/14/15,250.25,255,250.98,253.27,7587.420047
10/15/15,253.18,256.77,253.25,254.99,6678.891244
10/16/15,254.86,267.6,254.98,263.43,9215.97339
10/17/15,263.05,274.81,263.45,272.87,11034.14231
10/18/15,262.94,273.5,272.88,265,5660.018133
10/19/15,262.05,268.23,265,265.17,5364.101325
10/20/15,264.38,272.95,265.09,271.14,4647.331853
10/21/15,265,272.85,271.16,268.77,6195.066469
10/22/15,268.75,280,268.77,275.84,8695.883883
10/23/15,275.4,281.17,275.76,278.76,7072.844704
10/24/15,278.75,284.49,278.76,284.29,5507.976725
10/25/15,283.28,295.93,284.29,284.97,10695.66837
10/26/15,282.04,287.68,284.97,287.1,7477.924219
10/27/15,286.89,297.99,287.1,295.61,11123.68179
10/28/15,295.65,308.93,295.68,304.09,16047.51077
10/29/15,301.8,320.99,304.1,316.08,12247.44108
10/30/15,315.9,336.97,316.07,329.11,16825.19639
10/31/15,306.29,334.28,329.11,314.85,15213.51811
11/1/15,311.44,332,314.84,329.46,10727.58697
11/2/15,326.07,371.82,329.45,365.21,19748.94525
11/3/15,362.07,422.3,365.14,404.1,40167.73664
11/4/15,368.15,499.99,404.06,410,50603.79169
11/5/15,366.66,450,410,387.21,27227.96562
11/6/15,351,395,387.21,374.09,20034.6432
11/7/15,371.43,392,374.26,384.81,8396.124566
11/8/15,363.58,389,384.8,373.83,7459.01456
11/9/15,360.8,386.96,373.84,379.53,11225.64568
11/10/15,322,382.23,379.55,337.14,16694.81226
11/11/15,293.32,341.75,337.14,313.2,18097.66629
11/12/15,312.24,344.99,313.2,336.49,15784.18818
11/13/15,325,343,336.49,338.07,10203.5464
11/14/15,329.4,339.57,338.08,334.71,6008.710164
11/15/15,319.89,336.46,334.67,322.93,6329.302827
11/16/15,316.12,334.1,322.94,332.89,7295.396515
11/17/15,330.1,340.72,332.85,336.49,7262.456987
11/18/15,330,338,336.49,335.49,5204.310117
11/19/15,324.9,336.38,335.5,326.41,6718.630931
11/20/15,311.23,327.04,326.53,322.39,9324.440814
11/21/15,316.33,328,322.39,327,5125.958809
11/22/15,321,327,326.99,323.71,3426.178602
11/23/15,322,326,323.72,323,4797.364622
11/24/15,318,323.17,323.01,321,5234.691119
11/25/15,316.26,330.06,320.96,328.98,7870.714162
11/26/15,328.98,368.18,328.99,352.57,14023.74766
11/27/15,347.96,364.46,352.56,358.19,7234.790706
11/28/15,351.09,359.63,358.2,357.24,5553.054495
11/29/15,354.26,373.63,357.24,372.24,5537.923139
11/30/15,367.5,382.87,372.25,376.86,11425.77473
12/1/15,354.6,378.94,376.88,362.68,9267.043086
12/2/15,347.55,363.06,362.68,360,8966.988242
12/3/15,356.52,369.99,360,361.77,7242.504373
12/4/15,355.43,364.85,361.89,363.98,5864.705649
12/5/15,363.97,390,363.98,387.99,8731.839301
12/6/15,375.22,401.01,388.03,387.55,9639.572835
12/7/15,383,397.57,387.53,394.73,7577.577985
12/8/15,386.69,418.94,394.73,418.94,8264.814572
12/9/15,401,425,417.84,418.39,13811.44429
12/10/15,408,419.5,418.39,415.68,7117.838237
12/11/15,415.67,453.13,415.68,452.95,13643.46945
12/12/15,403,469.34,452.95,436.87,29525.26996
12/13/15,419.42,443.83,436.9,433.83,6720.0136
12/14/15,429.12,450,433.38,444.01,165495.8155
12/15/15,443.76,464.95,444.03,464.27,11008.15686
12/16/15,440,464.73,464.5,453.97,35979.09462
12/17/15,446.01,456.33,453.96,455.5,6287.108041
12/18/15,453.28,465.1,455.5,463.17,5045.110025
12/19/15,451.58,465.6,463.14,461.29,6991.384363
12/20/15,430,461.3,461.29,442.22,8376.423353
12/21/15,424.66,444.44,442.36,436.81,6845.941204
12/22/15,432.58,442,436.85,433.92,6659.301969
12/23/15,428.29,445.11,433.94,442.43,7571.530727
12/24/15,442.42,460,442.43,455.74,6860.177531
12/25/15,450.01,458.99,455.74,455.84,3482.660512
12/26/15,410,458.29,455.82,419.41,13505.22265
12/27/15,410.02,429.85,419.41,424.72,5568.97684
12/28/15,418,429.9,424.73,421.94,6929.617995
12/29/15,419.31,433.9,421.94,433.89,6387.097139
12/30/15,422.35,434.99,433.89,427.95,4884.61573
12/31/15,419.04,434,427.9,430.35,6480.693574
1/1/16,427.92,437.15,430.35,435.66,3863.277451
1/2/16,432.41,437.56,435.67,435.4,3276.709621
1/3/16,425.02,435.75,435.4,431.91,3904.325318
1/4/16,431.37,435.79,431.9,433.85,5894.445723
1/5/16,430,435.64,433.84,433.34,5150.049476
1/6/16,428.15,433.46,433.32,430.87,5476.869959
1/7/16,430.64,460.15,430.66,459.07,13906.64073
1/8/16,447.53,464.4,459.07,454.44,8347.05504
1/9/16,447.66,456,454.41,450.38,4247.549651
1/10/16,442.96,451.39,450.39,449.99,3954.3224
1/11/16,445.88,452.65,449.99,449.19,5597.614183
1/12/16,431.83,449.44,449.26,434.01,6596.945453
1/13/16,425,437.5,434.01,432.77,9009.140709
1/14/16,428,435.27,432.7,430.03,5672.820962
1/15/16,357.3,430.29,430.04,357.53,28641.65359
1/16/16,350.92,391,357.59,388.7,17985.10478
1/17/16,372,391,388.7,378.46,8278.401793
1/18/16,370.1,386.1,378.47,384.89,8711.459756
1/19/16,370,385.5,384.79,375.27,8133.08901
1/20/16,369,425.1,375.28,418.54,13874.68166
1/21/16,403.21,424.78,418.89,409.38,8736.439029
1/22/16,373.86,413.99,409.02,382.9,13430.10304
1/23/16,382.55,398.72,382.93,387.5,6308.750022
1/24/16,387.49,406.93,387.5,403.05,3550.831772
1/25/16,386.41,403.04,403.04,391.4,6491.999812
1/26/16,387.78,397,391.4,391.54,6981.0099
1/27/16,390.7,397.18,391.7,394.79,6324.16419
1/28/16,377.12,395,394.6,379.61,9103.715499
1/29/16,363.25,385.05,379.63,378.68,12105.29044
1/30/16,375,382.04,378.68,378.46,4154.296422
1/31/16,365,382.5,378.46,367.95,5506.746813
2/1/16,366.26,379,367.89,371.33,7931.229229
2/2/16,371.17,374.41,371.33,372.93,6856.218158
2/3/16,365.63,373.01,372.93,368.87,7147.956573
2/4/16,368.74,390.63,368.87,387.99,8887.727232
2/5/16,382.99,389.36,387.99,384.5,7443.844332
2/6/16,370.05,384.54,384.44,375.44,6276.614737
2/7/16,373.24,379.81,375.44,377.49,4160.829111
2/8/16,370.5,379.35,377.47,371.14,7094.208578
2/9/16,370.13,374.93,371.02,372.68,8424.552208
2/10/16,371.87,383.34,372.76,378.44,9734.280825
2/11/16,360,379.5,378.49,378.23,10413.04372
2/12/16,377.46,382.05,378.23,382.05,6162.176713
2/13/16,381.99,396,382.05,391,5978.856472
2/14/16,391,406.92,391,406.59,7555.16485
2/15/16,394.03,409.09,406.62,398.95,6568.485383
2/16/16,390,407.5,398.94,407.42,5647.185071
2/17/16,405.69,420.13,407.41,415.2,8707.134003
2/18/16,415.01,423.2,415.18,421.19,6518.637612
2/19/16,416,422,421.18,420.72,5800.217532
2/20/16,420.09,444.03,420.72,437.46,9366.34856
2/21/16,426.01,448.7,438.04,438.56,7111.144586
2/22/16,430.95,439,438.56,437.55,5131.799883
2/23/16,414.16,440.9,437.45,419.97,9159.032245
2/24/16,410,425.6,420.32,423.94,7231.122365
2/25/16,418.6,426.44,423.87,423.54,6049.818115
2/26/16,419.53,430.85,423.51,430.85,6782.037465
2/27/16,430.14,434.97,430.84,433.12,5520.620269
2/28/16,423,436.07,433.09,433.73,5149.93009
2/29/16,431.13,442,433.73,436.44,7578.890069
3/1/16,427.5,437.78,436.41,433.08,7580.221063
3/2/16,418.36,435.36,433.03,420.39,7437.529435
3/3/16,408.63,422.8,420.44,418.8,11833.71087
3/4/16,405.5,422.21,418.76,407.35,8960.953572
3/5/16,381.09,408.83,407.38,396.08,14903.21378
3/6/16,385.01,409.27,396.13,403.24,7675.136563
3/7/16,395,418.74,403.24,412.21,9910.744242
3/8/16,407.4,416.33,412.21,411.18,7501.476496
3/9/16,408.75,414,411.18,412.8,5399.270362
3/10/16,410.71,416.52,412.64,415.98,7908.753867
3/11/16,414.97,421,415.98,419.39,7041.458143
3/12/16,406.52,421.3,419.48,410.58,6897.105099
3/13/16,410.01,416.38,410.56,412.52,4663.328797
3/14/16,411.61,415.84,412.51,415.02,6672.712652
3/15/16,412.48,416.94,415.02,415.41,7355.0796
3/16/16,413,416.39,415.41,416.07,6274.808811
3/17/16,415.7,419.75,416.06,418.41,6108.443285
3/18/16,399.21,418.66,418.42,409.65,8597.586764
3/19/16,404.72,411,409.66,410.2,4840.133579
3/20/16,409.36,415.34,410.09,411.27,4726.107175
